primary_language,languages,repo_owner,repo_name,repo_full_name,repo_topics,issue_number,title,body,labels,num_comments,assignees,participants,has_gfi_label,created_at,updated_at,days_open,url,newcomer_score
Python,Python:75.7%; TeX:21.4%; Ruby:2.7%; Shell:0.2%,AI4SCR,ai4bmr-datasets,AI4SCR/ai4bmr-datasets,,18,JOSS - Installation Issues,"Concerning the undergoing JOSS review, please revise the installation description: - First of all, the current given `pip install git+https://github.com/AI4SCR/ai4bmr-datasets.git` installation fails, as the `main` branch advanced. You should update it to the most recent stable release. - As used by many other packages/published methods, please provide an installation method that using either `venv` or conda-based enviroment management for avoid broken dependencies - Please provide the expected ",bug; documentation; good first issue,3,0,2,True,2025-08-12,2025-10-20,69,https://github.com/AI4SCR/ai4bmr-datasets/issues/18,0.977
TypeScript,TypeScript:98.2%; CSS:0.8%; PLpgSQL:0.7%; JavaScript:0.3%,Hackeries,AlgoRise,Hackeries/AlgoRise,hacktoberfest; algorithms-and-data-structures; competitive-programming; dsa; open-source; nextjs; supabase; typescript,112,Unable to Send Group Invitations,"### Description: When trying to invite users to join a group, the invitation does not go through. The UI shows the invitation option, but the invited user does not receive any notification or join request. ### Steps to Reproduce: - Go to the Groups section. - Select a group you have created. - Click on Invite Members. - Enter a valid user email or username. - Click Send Invitation. ### Expected Behavior: The invited user should receive an invitation notification and be able to join the group. ##",bug; help wanted; good first issue; hacktoberfest-accepted,6,1,3,True,2025-10-19,2025-10-20,1,https://github.com/Hackeries/AlgoRise/issues/112,0.977
Java,Java:71.8%; Vue:19%; TypeScript:6.2%; JavaScript:1.3%; SCSS:0.7%; Shell:0.4%; PLpgSQL:0.2%; Makefile:0.1%; Python:0.1%,kestra-io,kestra,kestra-io/kestra,orchestration; data-orchestration; high-availability; infrastructure-as-code; lowcode; automation; devops; java; low-code; pipeline,11983,[No Code] make the `message` field mandatory in `io.kestra.plugin.core.log.Log`,"### Describe the issue Make the `message` field mandatory in `io.kestra.plugin.core.log.Log` because without that field, the flow will have an error, and we can't execute and save it. <img width=""461"" height=""648"" alt=""Image"" src=""https://github.com/user-attachments/assets/97358124-7afe-4158-be90-6b30de62ccf2"" /> Make it like this: <img width=""485"" height=""339"" alt=""Image"" src=""https://github.com/user-attachments/assets/7e5b36d8-e258-415d-8937-6af59391cd27"" /> ### Reproducibility Go to the **Flo",bug; area/frontend; kind/quick-win; good first issue,13,1,6,True,2025-10-14,2025-10-20,6,https://github.com/kestra-io/kestra/issues/11983,0.976
Dart,Dart:86.3%; C++:4.7%; Python:4.1%; CMake:3.7%; Swift:0.5%; Kotlin:0.3%; C:0.3%,MasterAffan,OptiFit,MasterAffan/OptiFit,ai; fluttter; hacktoberfest; open-source; opencv; python,74,Add Dark Mode Theme,**Description:** Implement dark mode theme throughout the Flutter app with theme switching functionality. **Tasks:** - Create dark theme color palette - Implement theme switching logic - Add theme toggle in settings - Ensure all widgets support dark mode - Persist theme preference - Test theme switching across all screens **Acceptance Criteria:** - Dark mode works on all screens - Theme preference persists across app restarts - Smooth theme switching without flicker - All UI elements properly th,good first issue; frontend; personalization; Hacktoberfest,5,1,3,True,2025-10-20,2025-10-20,0,https://github.com/MasterAffan/OptiFit/issues/74,0.976
Rust,Rust:98.7%; Shell:1%; Dockerfile:0.2%; Makefile:0.1%,trifectatechfoundation,sudo-rs,trifectatechfoundation/sudo-rs,,1306,Handle missing `/etc/sudoers` with grace,"**Describe the feature you'd like see implemented in `sudo-rs`** If `/etc/sudoers` is missing, give a better error message than ""file not found"". ***or*** do something else that can be appropriate: interpret a missing `sudoers` file as: 1. All settings have their default value (like an empty sudoers file) 2. There is the implicit rule, which does what people naively expect sudo to do: grant escalationg privileges to people in the `sudoers` group. **What problem can be solved with this feature?**",enhancement; good first issue,1,0,1,True,2025-10-20,2025-10-20,0,https://github.com/trifectatechfoundation/sudo-rs/issues/1306,0.975
C,C:58.7%; C++:16.3%; Makefile:5.5%; Roff:3.4%; Assembly:3.3%; Python:2.5%; Perl:2.5%; Shell:2.5%; HTML:0.9%; DTrace:0.9%; CMake:0.7%; M4:0.6%; Objective-C:0.6%; TeX:0.2%; Yacc:0.2%; Raku:0.1%; Scheme:0.1%; D:0.1%; Lex:0.1%; XS:0.1%,ravynsoft,ravynos,ravynsoft/ravynos,freebsd; macos; cocoa; objective-c; desktop; osdev; unix; c; cpp; operating-system,525,"0.6.0: Update /etc/motd in build, not distribute phase","The /etc/motd.template is transformed into /etc/motd in the `distribute` target, which means that `make installworld` will install the unmodified version. As a ""quality of life"" improvement, transform the motd during the build/install steps instead.",good first issue; CLI; Hyperpop Hyena,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/ravynsoft/ravynos/issues/525,0.974
Python,Python:99.4%; Jinja:0.3%; Shell:0.2%,equinor,ert,equinor/ert,python; simulation; scientific,11849,`save_parameters` raises bad error when `dataset` is numpy array,"### What happened? (You can include a screenshot if it helps explain) Calling `save_parameters` with a numpy array raises the following: ```python --------------------------------------------------------------------------- AssertionError Traceback (most recent call last) Cell In[30], line 9 7 experiment = storage.get_experiment_by_name(experiment_name) 8 posterior_ensemble = experiment.create_ensemble(ensemble_size=ensemble_size, name=""poly-posterior"", prior_ensemble=ensemble) ----> 9 posterior_",bug; good first issue,0,1,3,True,2025-09-18,2025-10-20,32,https://github.com/equinor/ert/issues/11849,0.972
Astro,Astro:54.2%; TypeScript:37.2%; JavaScript:4.7%; CSS:3.6%; Dockerfile:0.3%,Women-Devs-SG,womendevssg,Women-Devs-SG/womendevssg,beginner-friendly; hacktoberfest; open-source; women-in-tech,87,[BUG]: Meetup banner gets resized after navigating to other pages,"**Describe the bug** Minor issue - The meetup banner gets resized after navigating to other pages and back into the home page. **To Reproduce** Steps to reproduce the behavior: 1. Go to https://womendevssg.netlify.app 2. Scroll down to Upcoming Events section 3. Click on any other tab (e.g. Members) 4. Go back to the home page 5. See that the banner size changes **Expected behavior** The banner size should remain consistent. **Screenshots** Initial: <img width=""1449"" height=""447"" alt=""Image"" src",bug; good first issue; hacktoberfest; women-devs-only,2,0,2,True,2025-10-20,2025-10-20,0,https://github.com/Women-Devs-SG/womendevssg/issues/87,0.972
Rust,Rust:74%; JavaScript:9.4%; TypeScript:5.3%; Shell:3.5%; CSS:3.1%; Dockerfile:2.3%; Nix:1.8%; HTML:0.3%; Lua:0.2%,metacall,metassr,metacall/metassr,metacall; polyglot-programming; rust; ssr,32,is using clone on ToString function really important?,In https://github.com/metacall/metassr/blob/master/crates/html-generator/src/builder.rs#L27 we made a ToString method for HtmlOutput and we are cloning the string which is expensive is it important to clone the string cant we just use less expensive methods. `impl ToString for HtmlOutput { fn to_string(&self) -> String { self.0.clone() } }`,enhancement; good first issue,12,0,3,True,2025-02-08,2025-10-20,254,https://github.com/metacall/metassr/issues/32,0.972
Java,Java:94.4%; HTML:2.7%; JavaScript:1.3%; Kotlin:1.2%; Shell:0.1%; ANTLR:0.1%,quarkusio,quarkus,quarkusio/quarkus,kubernetes; java; cloud-native; reactive; hacktoberfest,50572,HibernateOrmProcessor causes Warning that package cannot be indexed due to package-info.java,"### Describe the bug If I want to define a global Hibernate **@FilterDef** the best practive way is to use a **package-info.java** next to the entities. But this package-info.java during tests causes a WARN: `2025-10-15 10:38:52,125 WARN [io.qua.dep.ind.IndexWrapper] (build-26) Failed to index org.acme: Class does not exist in ClassLoader QuarkusClassLoader:Deployment Class Loader: TEST for JUnitQuarkusTest-no-profile (QuarkusTest)@7446d8d5` _HibernateOrmProcessor.generateProxies_ calls the _Ind",kind/bug; good first issue; area/hibernate-orm,6,0,3,True,2025-10-15,2025-10-20,5,https://github.com/quarkusio/quarkus/issues/50572,0.971
Python,Python:100%,lindelwa122,sort-quest,lindelwa122/sort-quest,algorithm; algorithms-and-data-structures; hacktoberfest; library; python; search-algorithm; sorting-algorithms,2,search.binary,"## Implement Binary Search Algorithm ### Description Implement the `binary()` method in the `Search` class (`search.py`). This method should use the binary search algorithm to find an element in a **sorted list** based on a custom comparator function. ### Requirements **Method Signature:** ```python @staticmethod def binary(data: List[Any], target: Any, comparator: Callable[[Any, Any], int]) -> Any ``` **Parameters:** - `data`: A **sorted** list of elements to search through - `target`: The elem",enhancement; good first issue; hacktoberfest,6,4,5,True,2025-10-18,2025-10-20,2,https://github.com/lindelwa122/sort-quest/issues/2,0.971
Python,Python:87.7%; CSS:9.4%; HTML:2.9%,L3viathan,veronique,L3viathan/veronique,,9,Data type: Markdown,"Like a text field, but renders as Markdown.",good first issue,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/L3viathan/veronique/issues/9,0.971
JavaScript,JavaScript:62.7%; TypeScript:33.9%; SCSS:3%; CSS:0.2%; Dockerfile:0.1%; Makefile:0.1%; Shell:0.1%; HTML:0.1%,kyma-project,busola,kyma-project/busola,kubernetes; dashboards; hacktoberfest,4249,Use `Revert` instead of `Reset` when creating resources," **Description** As in title **Expected result** The `Reset` button should be named `Revert` <!-- Describe what you expect to happen. --> **Actual result** There is a button named `Reset` **Steps to reproduce** Go to any resource create form. <img width=""824"" height=""760"" alt=""Image"" src=""https://github.com/user-attachments/assets/fb79a6f0-e369-498b-947d-2ba1423ae076"" /> **Troubleshooting** <!-- Describe the steps you have already taken to solve the issue. --> ",kind/bug; good first issue,1,0,2,True,2025-10-14,2025-10-20,6,https://github.com/kyma-project/busola/issues/4249,0.97
JavaScript,JavaScript:66.6%; CSS:31.7%; Python:1.3%; HTML:0.5%,code-charity,youtube,code-charity/youtube,extension; chrome-extension; youtube; youtube-api; playback-speed; youtube-player; youtube-playlist; youtube-channel; subtitles; video,3275,custom playback speed feature not woriking,### Concise Description i tried to change the keys for the playback speed but it's not working . I was using the Ehancer extention before this and i used the playback speed shortcuts very often. ### Browser/s Brave ### Other Browser: _No response_ ### 'Steps to reproduce' - Which of our features is required for the bug to happen? shortcuts --- > Playback speed ### Since when? just started using today not sure since it was an issue ### Does the bug still happen when you log out of YouTube? None #,Bug; help wanted; good first issue; up-for-grabs,2,0,3,True,2025-10-19,2025-10-20,1,https://github.com/code-charity/youtube/issues/3275,0.97
C,C:93.9%; CMake:6.1%,deadlightreal,SwiftNet,deadlightreal/SwiftNet,c-library; networking-library; raw-sockets; sockets-programming,98,"In client connection creation, if server does not respond within some amount of time, return NULL, and print debug message",,enhancement; help wanted; good first issue; easy,2,1,2,True,2025-10-17,2025-10-20,2,https://github.com/deadlightreal/SwiftNet/issues/98,0.97
Python,Python:87.6%; Jupyter Notebook:12.4%,ipqa-research,ugropy,ipqa-research/ugropy,python; thermodynamics; unifac; compound; contribution; group; properties; pure; joback; excess,38,RDKIT `DeprecationWarning`,This should be taken into account for future versions ``` lib/python3.13/site-packages/ugropy/core/get_rdkit_object.py:78: PubChemPyDeprecationWarning: canonical_smiles is deprecated: Use connectivity_smiles instead if pcp_object.canonical_smiles: lib/python3.13/site-packages/ugropy/core/get_rdkit_object.py:79: PubChemPyDeprecationWarning: canonical_smiles is deprecated: Use connectivity_smiles instead chem_object = Chem.MolFromSmiles(pcp_object.canonical_smiles) ```,enhancement; good first issue,1,1,2,True,2025-10-20,2025-10-20,0,https://github.com/ipqa-research/ugropy/issues/38,0.97
C#,C#:56.2%; TypeScript:42%; PowerShell:0.8%; TSQL:0.6%; Gherkin:0.1%; XSLT:0.1%; JavaScript:0.1%,sefe,dorc,sefe/dorc,,247,"""delete"" database button doesn't work",it does nothing and gives error (in dev tools) on /databases page upd. see comments,good first issue,3,0,5,True,2025-07-18,2025-10-20,94,https://github.com/sefe/dorc/issues/247,0.97
TypeScript,TypeScript:67.1%; Vue:32.2%; JavaScript:0.2%; CSS:0.2%; Shell:0.1%; Dockerfile:0.1%; HTML:0.1%,bccsa,luminary,bccsa/luminary,,1160,CMS: Rich text editor text not persisting through different screen size breakpoints,,good first issue,0,0,1,True,2025-10-07,2025-10-20,13,https://github.com/bccsa/luminary/issues/1160,0.969
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1292,Folder Tree Visualizer,Display a directory’s structure in a tree-like format.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1292,0.968
Python,Python:100%,beeware,briefcase,beeware/briefcase,,2490,"briefcase create throws an exception on Gentoo (""Can't determine the system python version"")","### Describe the bug I'm on Gentoo. When I run the command ""briefcase create"", if fails with ""Can't determine the system python version"". ### Steps to reproduce 1. Follow the steps from the BeeWare tutorial, including 2. briefcase create ### Expected behavior I expect that the command works without throwing an exception. ### Screenshots _No response_ ### Environment - Operating System: Gentoo - Python version: 3.13.5 - Software versions: - Briefcase: 0.3.25 - Toga: 0.5.2 ### Logs [briefcase.2025",bug; good first issue; linux,2,0,4,True,2025-09-26,2025-10-20,24,https://github.com/beeware/briefcase/issues/2490,0.968
Rust,Rust:58.1%; Vue:29.2%; TypeScript:7.2%; PLpgSQL:3.9%; Shell:0.9%; CSS:0.4%; Dockerfile:0.2%,Arcadia-Solutions,arcadia,Arcadia-Solutions/arcadia,archiving; bittorrent; bittorrent-tracker; decentralized; torrent; tracker; peer-to-peer; p2p,387,Keep track of how torrents are uploaded,"Add a new attribute `upload_method` in the `torrents` table which would be an eum and will store how the torrent has been uploaded. By default it would be `manual` (for manual upload from the web interface). Upload tools should then either use an http header or set this value to their name. This way, we can keep track of how users upload to the site",good first issue; backend,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/Arcadia-Solutions/arcadia/issues/387,0.968
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1311,ASCII Mandala Drawer,Use math functions to draw mandala-like ASCII patterns.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1311,0.968
Java,Java:71.8%; Vue:19%; TypeScript:6.2%; JavaScript:1.3%; SCSS:0.7%; Shell:0.4%; PLpgSQL:0.2%; Makefile:0.1%; Python:0.1%,kestra-io,kestra,kestra-io/kestra,orchestration; data-orchestration; high-availability; infrastructure-as-code; lowcode; automation; devops; java; low-code; pipeline,12042,Editor (No-code): Add hover effect on clickable items,"### Feature description <img width=""1884"" height=""1013"" alt=""Image"" src=""https://github.com/user-attachments/assets/fac07175-3cf8-484a-aa5f-c20066700a77"" /> **Description**: In the no-code editor, clickable items currently have no hover feedback, which affects usability and consistency with the rest of the UI. **Action**: Add a hover state to clickable items using the variable `--ks-button-secondary-hover`.",enhancement; area/frontend; kind/quick-win; good first issue,10,1,6,True,2025-10-15,2025-10-20,5,https://github.com/kestra-io/kestra/issues/12042,0.967
TypeScript,TypeScript:68.5%; JavaScript:26.6%; HTML:3.5%; CSS:0.8%; C:0.3%; Dockerfile:0.2%; Shell:0.1%,stack-chan,stack-chan,stack-chan/stack-chan,m5stack; moddable; robots; fusion360; kicad; kawaii; schematics; esp32; stackchan; javascript,316,chatAudioIO を組み込む,**既存の機能に問題がある場合、その説明** 現在の音声対話機能はSTT-> LLM -> TTSといくつかのサービスを組み合わせて実現しているため応答性がそこまで高くない。 一方で、最近のModdableSDKの更新では、リアルタイム会話モジュールとして [chatAudioIO](https://github.com/Moddable-OpenSource/moddable/tree/5.6.0/modules/network/services/chatAudioIO)が追加されました。これをstack-chanでも利用できるようにしたい。 **あなたが望む解決策**。 * chatAudioIOはいくつかのネイティブコードを含むため、ホスト側でmanifestファイルをインクルードする必要があります。 * microphoneクラスが、`pins/audioin`を使用としており、chatAudioIOが使用する`embedded:io/audio/in` と競合するため、microphoneを`embedded:io/audio/in`ベースへの改修が必要 **その他** 解決,enhancement; good first issue,3,0,3,True,2025-04-06,2025-10-20,197,https://github.com/stack-chan/stack-chan/issues/316,0.967
Kotlin,Kotlin:98.8%; Java:0.8%; AIDL:0.3%; Ruby:0.1%,meshtastic,Meshtastic-Android,meshtastic/Meshtastic-Android,gps; lora; android; meshtastic,3508,[Feature Request]: add favorite bool to nodedb reset,"### Checklist - [x] I have used the search function for **OPEN ISSUES** to see if someone else has already submitted the same feature request. - [x] I have **also** used the search function for **CLOSED ISSUES** to see if the feature was already implemented and is just waiting to be released, or if the feature was rejected. - [x] I will describe the request with as much detail as possible. - [x] This request contains only one single feature, **not** a list of multiple (related) features. - [x] I",enhancement; good first issue,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/meshtastic/Meshtastic-Android/issues/3508,0.966
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1291,CPU and RAM Monitor,Print real-time CPU and memory usage every second.,good first issue; hacktoberfest,1,0,2,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1291,0.966
Kotlin,Kotlin:73.2%; Java:26.3%; Ruby:0.4%; Shell:0.1%,wordpress-mobile,WordPress-Android,wordpress-mobile/WordPress-Android,wordpress; android; secret; java; oauth2-authentication; app; mobile; website; write; read,21181,'Manage Insights' button on the 'File downloads' page does not respond when clicked ,### Expected behavior Clicking the 'Manage Insights' button should open the insights management interface or provide relevant options. ### Actual behavior The 'Manage Insights' button can be clicked but does not produce any response. ### Steps to reproduce the behavior 1. Click the 'Stats' button 2. Scroll down to the 'File downloads' 3. Click the 'View more' button 4. Click the '<' button to change the date until 'No insights added yet' is displayed. 5. Click the 'Manage Insights' button ##### ,[Type] Bug; Good First Issue,6,0,7,True,2024-08-30,2025-10-20,416,https://github.com/wordpress-mobile/WordPress-Android/issues/21181,0.965
Rust,Rust:38.3%; TypeScript:37.2%; CSS:23.1%; HTML:1.4%,rajivm1991,DroidDock,rajivm1991/DroidDock,,2,Add file download functionality,"Implement the ability to pull files from the Android device to Mac. **Feature Description:** - Allow users to select files and download them to their Mac - Add a download button or right-click context menu option - Show download progress for large files - Allow choosing destination folder on Mac **Technical Considerations:** - Use `adb pull` command - Handle errors (permissions, disk space, etc.) - Consider implementing batch download for multiple files",enhancement; good first issue,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/rajivm1991/DroidDock/issues/2,0.965
Python,Python:99.2%; Makefile:0.5%; Shell:0.3%,collective,icalendar,collective/icalendar,hacktoberfest; alarm; event; generator; icalendar; ics; journal; parser; rfc5545; todo,626,Enhance Documentation,"When I skip over [usage.html], I think, this can be structured in a better way, more descriptive in places and also have more content. Here is a list of what I think can be improved. For each item, please open a separate pull request. - [ ] change RFC 2445 to 5545 where you can find it - [ ] File structure and overview can be merged. - [ ] SUMMARY: might not be legal in the RFC, check it and make it `X-CAL-DESCRIPTION` or something used eitherway - [ ] How to open a file with a `Calendar` object",doc; good first issue,1,0,2,True,2024-06-07,2025-10-20,500,https://github.com/collective/icalendar/issues/626,0.964
Go,Go:79.2%; Jsonnet:16.7%; Makefile:3%; Shell:0.5%; Smarty:0.3%; Lua:0.2%; Dockerfile:0.1%,grafana,grafana-operator,grafana/grafana-operator,grafana-operator; kubernetes; operator; grafana; k8s; golang; go; observability; monitoring; openshift,2189,Units larger than `h` in `GrafanaAlertRuleGroup#.spec.rules[*].for` are rejected on apply,"**Describe the bug** When exporting Alerts and AlertGroups from Grafana in order to populate a `GrafanaAlertRuleGroup` CR, we see that when specific values are picked for pending period( `.spec.rules[*].for`) like `24h`, Grafana will export it as `1d`. At the time of writing, years, weeks, and days are not supported in the `.spec.rules[*].for` field. **Version** v5.19.4 **To Reproduce** Steps to reproduce the behavior: 1. Open a Grafana `v11.5.3` or later 2. Create or modify an alert rule 3. Set",good first issue; triage/accepted,4,1,3,True,2025-09-08,2025-10-20,42,https://github.com/grafana/grafana-operator/issues/2189,0.964
