repo_owner,repo_name,issue_number,title,body_length,num_labels,created_at,closed_at,num_comments,has_gfi_label,days_open,resolver,resolver_commit_count,is_newcomer_resolver,resolution_method,confidence_score
microsoft,vscode,227546,"Editor find widget cropped in AUX window",202,8,2024-09-04T08:28:17Z,2024-09-19T08:29:39Z,4,1,15,juliapz,1,1,pr,high
microsoft,vscode,225466,"bug: table not Vertical Center",237,6,2024-08-13T05:40:07Z,2024-09-17T18:00:46Z,0,1,35,sunnylost,1,1,pr,high
microsoft,vscode,202967,"`code serve-web` fails when offline",2616,6,2024-01-22T01:11:20Z,2024-09-09T16:18:58Z,17,1,231,connor4312,1743,0,pr,high
microsoft,vscode,225361,"Command palette closes when Active Terminal killed",1697,5,2024-08-11T19:04:55Z,2024-08-20T14:18:16Z,3,1,8,NriotHrreion,10,0,pr,high
microsoft,vscode,225750,"Notification bottom item lacks border radius",1422,8,2024-08-16T05:11:26Z,2024-08-19T15:05:39Z,5,1,3,dangerman,3,0,pr,high
microsoft,vscode,225359,"Change terminal rename codicon",559,6,2024-08-11T18:13:05Z,2024-08-12T21:51:39Z,1,1,1,jeanp413,290,0,pr,high
microsoft,vscode,218254,"Copying a PNG image from VSCode results in a different image.",5338,5,2024-06-26T07:53:21Z,2024-07-08T18:18:06Z,6,1,12,Parasaran-Python,1,1,pr,high
microsoft,vscode,215999,"Auto Surround for markdown does not work with tilde key (~) often used for strikethrough",1257,4,2024-06-17T18:58:32Z,2024-06-19T17:24:45Z,2,1,1,y0sh1ne,1,1,pr,high
microsoft,vscode,208398,"VS code does not copy AVIF files to markdown workspace like JPEG/PNG files",1375,3,2024-03-22T11:50:06Z,2024-06-30T02:32:40Z,5,1,99,BrunoSoaresEngineering,1,1,pr,medium
microsoft,vscode,100460,"[themes] Add command to switch to a specific theme.",964,4,2020-06-18T06:48:58Z,2024-01-29T06:51:52Z,14,1,1320,,,,,
microsoft,vscode,170963,"ANSI OSC 8 hyperlink support NOT working properly (#155445)",3180,7,2023-01-10T13:07:21Z,2024-04-14T18:51:44Z,13,1,460,Tyriar,9058,0,pr,high
microsoft,vscode,193523,"JSDoc optional parameters don't display in functions.",2139,4,2023-09-15T20:56:38Z,2024-02-07T21:03:35Z,13,1,145,perplexyves,1,1,pr,medium
microsoft,vscode,193263,"Docblock editor not expanding when asterisk is not preceded by a space.",875,3,2023-09-16T14:12:30Z,2024-02-06T04:54:23Z,7,1,142,rzvc,1,1,pr,medium
microsoft,vscode,157546,"Shell integration: bash and zsh don't serialize \n and ; characters",444,7,2022-08-08T17:57:41Z,2024-04-08T13:07:43Z,4,1,608,zgracem,14,0,pr,medium
microsoft,vscode,173866,"Associate a keyboard shortcut with the new ""Fuzzy Match"" toggle button",1367,7,2023-02-08T19:10:26Z,2023-12-19T16:06:11Z,17,1,313,keerthivasansa,1,1,pr,high
microsoft,vscode,174146,"searching for lines in debug console that start with ""!""",3376,4,2023-02-11T14:30:40Z,2024-04-26T03:17:55Z,10,1,439,4-tel,1,1,pr,medium
microsoft,vscode,173586,"Video Wake Lock caused by release notes",1881,3,2023-02-06T16:28:53Z,2023-12-20T07:05:16Z,9,1,316,,,,,
microsoft,vscode,198975,"Commit message(s) disappear after undoing the last commit",2281,6,2023-11-23T21:53:15Z,2024-01-08T13:48:20Z,4,1,45,VDisawal,1,1,pr,high
microsoft,vscode,207179,"editor.lineNumbers: interval - render last line number",243,7,2024-03-08T18:10:02Z,2024-03-11T10:43:06Z,2,1,2,89netraM,1,1,pr,high
microsoft,vscode,205873,"Testing side bar colors: better highlight the difference between past and recently run tests",1093,4,2024-02-21T14:45:21Z,2024-03-26T15:23:01Z,13,1,34,BABA983,4,0,pr,medium
microsoft,vscode,199938,"Error: Illegal value for lineNumber",602,6,2023-12-04T10:04:59Z,2023-12-12T16:25:18Z,2,1,8,aiday-mar,1049,0,pr,high
microsoft,vscode,101989,"VSCode doesn't respect font scaling for menus (GNOME)",1365,7,2020-07-09T11:20:57Z,2023-12-12T05:13:37Z,6,1,1250,,,,,
microsoft,vscode,84608,"Some emmet css abbreviations with "":n"" value don't work as expected",1554,7,2019-11-12T16:59:01Z,2023-12-08T22:09:17Z,14,1,1487,,,,,
microsoft,vscode,192772,"tsconfig.json references navigation doesn't understand folder references",205,6,2023-09-11T13:32:44Z,2023-11-06T19:46:12Z,4,1,56,ronakj,1,1,pr,high
microsoft,vscode,197464,"[Accessibility] Allow users to disable auto-stop-listening setting.",646,7,2023-11-04T23:45:20Z,2023-11-10T19:04:02Z,7,1,5,PrathamLalwani,1,1,pr,medium
microsoft,vscode,184399,"Sort entries in ""Feature Contributions"" tables of extension",502,7,2023-06-06T09:06:36Z,2023-10-09T14:14:23Z,6,1,125,Kalmaegi,66,0,pr,high
microsoft,vscode,192771,"Windows is ignore terminal titles unless they look like paths",991,7,2023-09-11T13:19:46Z,2023-09-18T05:31:09Z,11,1,6,NikoRaisanen,2,1,pr,high
microsoft,vscode,186682,"Extension page's text color doesn't change properly when system high contrast theme is turned on",3300,5,2023-06-29T23:33:00Z,2023-08-07T19:32:10Z,32,1,38,balaji-sivasakthi,1,1,pr,high
microsoft,vscode,186399,"Peek Call/Type Hierarchy not in command palette",269,8,2023-06-27T18:02:15Z,2023-08-07T09:16:50Z,8,1,40,SevenOutman,3,0,pr,high
microsoft,vscode,155036,"Feature Request: Option to sync cursor when using command `workbench.action.compareEditor.focusOtherSide`",732,5,2022-07-13T08:50:46Z,2023-07-27T13:55:37Z,4,1,379,,,,,
microsoft,vscode,182014,"Show ISO format dates always",2198,5,2023-05-10T08:14:20Z,2023-07-04T13:28:19Z,12,1,55,rielAsh24,1,1,pr,high
microsoft,vscode,132598,"Notify users to switch builds when running via rosetta",2743,8,2021-09-08T01:36:40Z,2023-06-20T05:52:29Z,16,1,650,antonioprudenzano,3,0,pr,high
microsoft,vscode,107398,"Git: Close Repository reopens right after",1100,5,2020-09-25T01:15:11Z,2023-06-15T10:37:10Z,18,1,993,,,,,
microsoft,vscode,181652,"Support drag-and-drop of audio file (using Shift) into Markdown file",421,6,2023-05-05T16:45:09Z,2023-05-25T22:50:24Z,3,1,20,,,,,
microsoft,vscode,181094,"[Feature request] Test explorer show failing tests number in the Activity Bar Badge",1005,6,2023-04-28T07:00:15Z,2023-05-15T22:21:45Z,2,1,17,iifawzi,1,1,pr,high
microsoft,vscode,181207,"The ""return to top"" icon blocks the extension's readme text",1527,4,2023-04-30T05:54:05Z,2023-05-10T00:21:02Z,7,1,9,dcourv,1,1,pr,high
microsoft,vscode,181115,"Snippet body used as description when none is provided",1400,6,2023-04-28T10:38:22Z,2023-05-10T06:59:58Z,5,1,11,TheSylvester,6,0,pr,medium
microsoft,vscode,168110,"Bracket Pair Colorization does not handle Perl punctuation variables",4236,6,2022-12-05T20:59:09Z,2023-05-02T12:15:55Z,11,1,147,yshaojun,1,1,pr,high
microsoft,vscode,175763,"Debug console loses ability to differentiate lines of output",1781,3,2023-03-01T17:05:52Z,2023-03-27T16:22:38Z,16,1,25,dancrumb,0,1,pr,medium
microsoft,vscode,173208,"Links don't have the right CSS cursor value in feature contributions",233,3,2023-02-02T21:22:14Z,2023-03-22T05:50:28Z,8,1,47,,,,,
microsoft,vscode,173752,"Screencast Mode: Only Keyboard Shortcuts still shows command names",481,6,2023-02-08T04:44:05Z,2023-03-09T17:50:14Z,7,1,29,nikdmello,1,1,pr,high
microsoft,vscode,94817,"Allow extensions to get the current editor layout",1366,9,2020-04-09T18:11:16Z,2023-02-25T14:53:58Z,16,1,1051,dkniffin,1,1,pr,high
microsoft,vscode,173735,"Markdown ""shell"" code fence language not recognized by Markdown Preview",795,5,2023-02-07T23:03:29Z,2023-02-20T16:50:50Z,5,1,12,maski07,1,1,pr,high
microsoft,vscode,173201,"Hover in status bar is inverted for status and language items",386,6,2023-02-02T20:54:48Z,2023-02-05T06:46:00Z,11,1,2,,,,,
microsoft,vscode,171379,"Can't highlight the first line of markdown",2094,5,2023-01-15T22:52:05Z,2023-02-01T00:35:04Z,0,1,16,ibuky,1,1,pr,high
microsoft,vscode,170706,"Markdown code block highlighting not present for Preview but present in editor",1848,5,2023-01-06T17:28:10Z,2023-02-01T00:34:06Z,6,1,25,,,,,
microsoft,vscode,148644,"language scope markdown math",1557,7,2022-05-03T16:13:20Z,2023-02-01T14:44:39Z,4,1,273,robincaloudis,1,1,pr,high
microsoft,vscode,104845,"Git: Add support to delete remote git tags using command palette",422,8,2020-08-17T16:43:44Z,2023-01-26T14:47:40Z,19,1,891,lszomoru,712,0,pr,high
microsoft,vscode,120709,"Stop loop to next change at last change of file",1002,5,2021-04-07T07:59:29Z,2023-01-09T11:12:29Z,10,1,642,,,,,
microsoft,vscode,166642,"Make Run Tests and Debug Tests default profile in sync ",925,8,2022-11-17T21:44:12Z,2023-01-06T18:41:52Z,8,1,49,ambujsahu81,11,0,pr,high
microsoft,vscode,145458,"List: Support scroll by page",1041,7,2022-03-19T16:25:20Z,2023-01-03T09:09:48Z,4,1,289,Balastrong,11,0,pr,high
microsoft,vscode,59952,"Shortcut background broken with centered editor layout",304,6,2018-10-04T08:24:55Z,2023-01-02T16:23:46Z,13,1,1551,joaomoreno,8440,0,pr,high
microsoft,vscode,153223,"SelectionToWatchExpressionsAction shortcut should not require debug mode to invoke.",400,6,2022-06-26T01:38:04Z,2022-12-30T23:05:55Z,5,1,187,JustinGrote,2,1,pr,high
microsoft,vscode,73879,"Terminal default font not useful if editor font is proportional",1802,5,2019-05-17T10:46:18Z,2022-12-08T19:40:43Z,14,1,1301,,,,,
microsoft,vscode,149593,"ParseError: KaTeX parse error: Expected & or \\ or \cr or \end at end of input: ...",986,5,2022-05-15T14:48:04Z,2022-12-09T23:37:42Z,8,1,208,mjbvz,7610,0,pr,high
microsoft,vscode,145238,"Request: `${rootNameShort}` for Window Titles",1537,9,2022-03-16T16:51:34Z,2022-12-07T13:51:40Z,9,1,265,N1kO23,1,1,pr,high
microsoft,vscode,165123,"Allow to open a diff editor with two untitled sides",1992,7,2022-11-01T06:48:01Z,2022-12-12T07:44:36Z,12,1,41,ste42,1,1,pr,medium
microsoft,vscode,155294,"Allow me to disable debug status bar treatment",350,6,2022-07-15T10:32:38Z,2022-12-12T23:59:28Z,12,1,150,antonioprudenzano,1,1,pr,high
microsoft,vscode,114008,"Terminal link tooltips can cover the link",229,5,2021-01-07T21:40:25Z,2022-12-12T20:01:56Z,9,1,703,,,,,
microsoft,vscode,145852,"Status bar items do not preserve whitespace between codicons ",1391,5,2022-03-23T07:43:53Z,2023-01-26T07:19:19Z,18,1,308,,,,,
microsoft,vscode,149295,"Markdown math latex rendering breaks notebook",2102,6,2022-05-11T21:43:25Z,2022-12-07T00:58:25Z,8,1,209,mjbvz,7589,0,pr,medium
microsoft,vscode,130548,"Expose Run and Debug test to other UI entries?",1097,7,2021-08-11T05:23:34Z,2022-11-23T20:32:59Z,10,1,469,connor4312,1012,0,pr,high
microsoft,vscode,86384,"Git: Stash Staged Changes",783,5,2019-12-05T10:20:18Z,2020-11-04T15:35:36Z,9,1,335,,,,,
microsoft,vscode,157410,"Add a command to ""fully"" collapse a tree item (maybe expand too)",1412,7,2022-08-06T20:57:41Z,2022-10-24T13:21:50Z,3,1,78,unknown,0,1,pr,medium
microsoft,vscode,163864,"Extension Disable button does not have border radius on the right side",2036,8,2022-10-17T16:42:07Z,2022-10-24T22:23:47Z,1,1,7,jeanp413,242,0,pr,high
microsoft,vscode,150209,"Wrapped extension categories don't look good",250,5,2022-05-23T17:53:41Z,2022-12-06T13:58:34Z,9,1,196,,,,,
microsoft,vscode,162524,"No end of support prompt while installing latest version on Windows 7 (64 bit)",1772,7,2022-10-02T17:32:37Z,2022-10-21T14:54:07Z,19,1,18,abhishekmsingh,1,1,pr,high
microsoft,vscode,86332,"Markdown word not highlighting when using underscore to mark italic",1206,5,2019-12-04T23:13:22Z,2022-12-05T21:47:07Z,6,1,1096,,,,,
microsoft,vscode,162379,"Issue with \tag per row of {align} inside tex and markdown",2147,3,2022-09-29T17:11:07Z,2022-10-17T18:09:10Z,2,1,18,mjbvz,7404,0,pr,high
microsoft,vscode,163130,"jsdoc multiple generic type doesn't parse right in hover popup",415,4,2022-10-09T20:41:10Z,2022-10-12T21:06:20Z,2,1,3,Suven-p,5,0,pr,high
microsoft,vscode,135472,"Unable to configure the closing of the browser when finishing debug",2039,4,2021-10-20T14:15:47Z,2022-10-10T03:16:57Z,9,1,354,,,,,
microsoft,vscode,134612,"Add Wayland Electron Arguments to argv.json",884,4,2021-10-07T22:08:22Z,2022-08-16T11:48:25Z,4,1,312,,,,,
microsoft,vscode,152465,"application: consistent behavior when interacting with `select` components",2192,6,2022-06-17T12:18:01Z,2022-08-04T17:20:59Z,2,1,48,Balastrong,7,0,pr,high
microsoft,vscode,153593,"Voiceover reads file path for setting section buttons",1360,6,2022-06-28T19:00:02Z,2022-07-25T17:09:42Z,2,1,26,,,,,
microsoft,vscode,146965,"Testing editor decorations for multiple overlapping vscode.TestItem's cannot be distinguished ",2089,8,2022-04-06T22:55:52Z,2022-07-25T19:28:45Z,8,1,109,Evan-sp,1,1,pr,high
microsoft,vscode,150440,"Bracket pair colorization matches substrings of longer words",1007,7,2022-05-26T06:13:03Z,2022-07-11T09:35:33Z,8,1,46,jlelong,4,0,pr,high
microsoft,vscode,105025,"Publish to GitHub uses master instead of default",1361,6,2020-08-19T19:40:23Z,2020-10-05T08:29:48Z,19,1,46,nrayburn-tech,2,1,pr,high
microsoft,vscode,151196,"Support <...> bracket matching in TypeScript",224,8,2022-06-03T08:12:41Z,2022-07-04T15:28:57Z,11,1,31,liby,1,1,pr,high
microsoft,vscode,152510,"No path suggestions inside of angle bracet markdown link",1081,5,2022-06-17T19:23:37Z,2022-06-24T22:04:40Z,9,1,7,mjbvz,7093,0,pr,high
microsoft,vscode,149074,"Horizontal bracket guides break on wrapped lines in first column, if editor.wrappingIndent == ""same""",1890,6,2022-05-09T09:58:25Z,2022-06-23T16:51:00Z,7,1,45,MonadChains,1,1,pr,high
microsoft,vscode,152630,"Testing: Space after codicon at start of label gets dropped",273,4,2022-06-20T12:45:25Z,2022-06-20T14:40:59Z,5,1,0,gjsjohnmurray,88,0,pr,high
microsoft,vscode,150544,"No command to clear keybindings search history",2277,7,2022-05-27T14:58:39Z,2022-06-09T13:17:42Z,2,1,12,leopoldsedev,3,0,pr,high
microsoft,vscode,150499,"'@see' jsdoc tag confuses bracket pair colorization",4539,5,2022-05-27T00:12:11Z,2022-06-06T17:05:39Z,10,1,10,,,,,
microsoft,vscode,114181,"`code-insiders --status` results in error",2732,4,2021-01-12T03:30:52Z,2022-06-04T22:24:06Z,6,1,508,Yash621,3,0,pr,medium
microsoft,vscode,140434,"Dates on extension page use American format regardless of display language",710,6,2021-12-25T22:35:01Z,2022-05-23T10:59:51Z,6,1,148,aifreedom,1,1,pr,high
microsoft,vscode,147043,"Latex not parsed correctly by markdown renderer in VS Code",2027,6,2022-04-07T23:10:10Z,2022-05-05T21:01:05Z,8,1,27,JerryWJi,0,1,pr,high
microsoft,vscode,96784,"Use aria-label to say full word for time in timeline view",173,6,2020-05-01T16:51:53Z,2022-04-29T17:31:36Z,19,1,728,lramos15,584,0,commit,medium
microsoft,vscode,147759,"Feature Request : able to action 'testing.unhideTest' from a task.",1299,6,2022-04-20T09:45:22Z,2022-04-25T17:27:50Z,5,1,5,Suven-p,4,0,pr,high
microsoft,vscode,147420,"`git.clone` command does not display repo search results correctly",1816,6,2022-04-13T23:05:49Z,2022-04-25T12:36:56Z,0,1,11,100paperkite,2,1,pr,high
microsoft,vscode,146226,"Improve progress reporting for upload, download, import progress in explorer",945,5,2022-03-29T02:52:26Z,2022-04-17T07:38:35Z,15,1,19,,,,,
microsoft,vscode,146714,"Link misinterpreted in code blocks in markdown file ",1829,6,2022-04-04T09:56:45Z,2022-04-07T21:50:38Z,3,1,3,AkatQuas,8,0,pr,high
microsoft,vscode,143543,"""Debug: Inline Values"" setting should support ""on""/""off"" instead of true/false",423,4,2022-02-21T13:38:13Z,2022-04-04T18:57:12Z,3,1,42,Balastrong,4,0,pr,high
microsoft,vscode,146305,"Change cursor for signature help markdown HTML links",2621,5,2022-03-30T08:00:38Z,2022-03-31T17:09:39Z,0,1,1,100paperkite,1,1,pr,high
microsoft,vscode,145367,"Could workbench.action.quickOpenTerm show more information to aid terminal selection?",1189,8,2022-03-18T04:38:58Z,2022-03-28T19:45:18Z,3,1,10,Balastrong,3,0,pr,high
microsoft,vscode,144309,"Add a setting to ignore dirty tabs in `workbench.editor.limit.value`",548,9,2022-03-03T09:57:16Z,2022-03-28T13:31:00Z,12,1,25,luoriyuhui21,1,1,pr,high
microsoft,vscode,145320,"Test error peek only replaces out first \r?\n of reported failure text",420,5,2022-03-17T14:58:19Z,2022-03-18T18:12:38Z,4,1,1,unknown,0,1,pr,high
microsoft,vscode,115621,"Closed Repositories keep reopening",956,3,2021-02-02T17:53:37Z,2022-03-13T03:49:48Z,5,1,403,,,,,
microsoft,vscode,144458,"Glob patterns `**/p*` incorrectly match on `/foo/ap`",1966,6,2022-03-05T08:25:42Z,2022-03-06T08:33:58Z,1,1,1,jeanp413,211,0,pr,high
microsoft,vscode,139659,"Open the default keybinding file without creating a new group",1077,4,2021-12-22T23:47:02Z,2022-03-05T02:32:10Z,5,1,72,,,,,
microsoft,vscode,142916,"Add Scroll to Top Color Change",699,5,2022-02-12T10:10:02Z,2022-03-03T00:16:45Z,2,1,18,kkakroo,2,1,pr,high
microsoft,vscode,140392,"Command ""workbench.action.exitZenMode"" would turn on ZenMode when not in ZenMode",2906,6,2022-01-10T08:33:47Z,2022-03-02T02:20:39Z,4,1,50,kkakroo,1,1,pr,high
microsoft,vscode,142028,"When setting the state of a TestRun more than once, the last one wins, not the ""most failed"" one",2301,5,2022-02-02T19:19:23Z,2022-02-15T19:30:22Z,8,1,13,stefanhaller,2,1,pr,high
microsoft,vscode,139323,"Settings sync has duplicate logins",3765,3,2021-12-16T19:28:49Z,2022-02-08T20:16:07Z,8,1,54,Yash621,3,0,pr,medium
microsoft,vscode,141657,"operating system independent home folder variable",1465,5,2022-01-27T17:48:46Z,2022-02-07T15:21:39Z,6,1,10,Bruce-Hopkins,1,1,pr,high
microsoft,vscode,139564,"Autocomplete for activation event is missing webview panel item",217,3,2021-12-21T08:34:23Z,2022-02-01T00:47:58Z,0,1,41,icepaq,1,1,pr,high
microsoft,vscode,137270,"The foreground here is very dark, hope we can allow us to modify it ourselves",882,5,2021-11-16T02:23:19Z,2022-01-31T05:04:06Z,20,1,76,Balastrong,1,1,pr,high
microsoft,vscode,139770,"Link highlighting is applied inside codeblocks",1204,4,2021-12-26T14:21:43Z,2022-01-25T20:38:50Z,10,1,30,WaqasAliAbbasi,1,1,pr,high
microsoft,vscode,137888,"Inline Completion Provider Sample Needs Update",390,2,2021-11-25T15:11:45Z,2022-01-10T14:00:18Z,3,1,45,hediet,522,0,commit,medium
microsoft,vscode,138921,"Markdown KaTeX Highlighting: Percent symbol (%) not escaped",1640,6,2021-12-11T19:16:09Z,2022-01-05T20:13:29Z,9,1,25,KhaledSamir,1,1,pr,high
microsoft,vscode,138105,"insert snippet picker list show where the snippet from",211,7,2021-11-30T02:41:54Z,2021-12-14T10:07:35Z,19,1,14,wengj9,4,0,pr,high
microsoft,vscode,137984,"""Test: Run Test at Cursor"" is too picky",1811,5,2021-11-27T15:25:06Z,2021-12-14T00:09:21Z,4,1,16,stefanhaller,1,1,pr,high
microsoft,vscode,137225,"new bracket paring",2240,6,2021-11-15T12:35:24Z,2021-11-23T09:59:10Z,4,1,7,hediet,439,0,commit,medium
microsoft,vscode,21370,"expandLineSelection is not a command",155,7,2017-02-24T15:27:30Z,2021-11-22T21:31:57Z,1,1,1732,laurentlb,1,1,pr,high
microsoft,vscode,130647,"the font of code in notebook-markdown",1669,5,2021-08-12T05:27:06Z,2021-11-10T01:07:10Z,7,1,89,,,,,
microsoft,vscode,84520,"Help test and implement the markdown custom editor preview",1760,6,2019-11-11T19:40:46Z,2021-11-05T00:30:16Z,15,1,724,andreamah,24,0,pr,medium
microsoft,vscode,131708,"Increase limit of recently opened workspaces and files",664,5,2021-08-26T10:05:56Z,2021-11-01T07:47:06Z,28,1,66,MVelez94,1,1,pr,high
microsoft,vscode,131386,"Terminal editors are always marked as dirty",2046,7,2021-08-23T08:23:30Z,2021-10-26T21:30:26Z,25,1,64,yuzhishuo,1,1,pr,high
microsoft,vscode,135151,"Unwanted bracket matching guidelines appear if you have () or {} inside xml element content",2132,6,2021-10-15T09:22:53Z,2021-10-25T07:53:19Z,6,1,9,hediet,373,0,commit,medium
microsoft,vscode,129911,"Clicking on terminal in a pathname that contains a $ doesn't open the file",1815,7,2021-08-01T02:45:19Z,2021-10-22T14:53:00Z,1,1,82,brajkowski,1,1,pr,high
microsoft,vscode,105126,"Clicking link in md opens copy of same document",1145,7,2020-08-21T05:05:00Z,2021-10-19T22:00:53Z,7,1,424,,,,,
microsoft,vscode,131080,"Unable to zoom out on an image",393,8,2021-08-18T06:13:32Z,2021-10-15T21:38:39Z,13,1,58,cyntler,1,1,pr,high
microsoft,vscode,133612,"Add arbitrary callback support to test explorer",419,4,2021-09-22T16:17:34Z,2021-10-13T17:12:24Z,4,1,21,Suven-p,3,0,pr,high
microsoft,vscode,86864,"Ctrl+Shift+T should reopen release notes just as any other tab",597,4,2019-12-13T02:50:21Z,2021-10-07T00:03:41Z,9,1,663,NotWearingPants,14,0,pr,medium
microsoft,vscode,133655,"Keystroke to trigger language selection in new document",635,6,2021-09-23T06:42:01Z,2021-10-07T05:12:42Z,15,1,13,Suven-p,3,0,pr,high
microsoft,vscode,97788,"html5 previewer plugin should not be able to take down renderer",313,6,2020-05-14T07:49:55Z,2021-10-04T23:19:27Z,10,1,508,,,,,
microsoft,vscode,134232,"Consider enabling word wrapping by default in test failure inline diff editor",474,5,2021-09-30T19:09:44Z,2021-10-04T16:48:01Z,7,1,3,Suven-p,2,1,pr,high
microsoft,vscode,130538,"Test UI: Sort/Filter by Duration",620,6,2021-08-11T03:46:37Z,2021-10-04T17:08:12Z,12,1,54,smcenlly,3,0,pr,high
microsoft,vscode,122427,"No tooltip shown when hovering over a terminal status",305,6,2021-04-27T19:06:38Z,2021-09-29T13:41:16Z,11,1,154,jrieken,8789,0,commit,medium
microsoft,vscode,132847,"Template literals brackets in build in Brackets colorizer",717,7,2021-09-10T08:04:45Z,2021-09-21T10:28:34Z,7,1,11,hediet,319,0,commit,medium
microsoft,vscode,133350,"[FR] Filter Test UI with a negated tag",566,6,2021-09-17T21:32:58Z,2021-09-20T17:26:54Z,1,1,2,ashgti,1,1,pr,high
microsoft,vscode,132476,"Please remove < > angle brackets pair colorization by default in all languages",759,7,2021-09-06T14:57:51Z,2021-09-17T15:26:55Z,12,1,11,IceSentry,0,1,pr,medium
microsoft,vscode,132049,"Fold/unfold tags in JSX like HTML",974,7,2021-09-01T12:37:35Z,2021-09-09T21:27:16Z,2,1,8,jwei98,1,1,pr,high
microsoft,vscode,131074,"preinstall.js can not check supported Visual Studio Version, when  Visual Studio 2019 not in default path",2869,4,2021-08-18T09:47:41Z,2021-09-08T20:10:26Z,3,1,21,,,,,
